step,dt_ms,cum_ms,inst_tok_s,avg_tok_s
1,209.342,209.342,4.777,4.777
2,40.533,249.875,24.671,8.004
3,39.095,288.970,25.579,10.382
4,39.606,328.576,25.249,12.174
5,49.780,378.356,20.088,13.215
6,41.541,419.897,24.073,14.289
7,47.258,467.155,21.160,14.984
8,52.028,519.183,19.220,15.409
9,61.997,581.180,16.130,15.486
10,51.615,632.795,19.374,15.803
11,71.906,704.701,13.907,15.609
12,49.156,753.857,20.343,15.918
13,49.278,803.135,20.293,16.187
14,48.550,851.685,20.597,16.438
15,47.970,899.655,20.846,16.673
